"player_info","rank","bye","owner_2018","fantasy_pts_proj"
"Detroit / Det / DEF","217","5","Hoboken SquatCobbler","89"
"Josh Gordon / NE / WR","218","10","He Hate Me","89"
"Albert Wilson / Mia / WR","219","5","FA","89"
"Austin Hooper / Atl / TE","220","9","ChildPlease","88"
"Paul Richardson Jr. / Was / WR","221","10","FA","87"
"New York / NYJ / DEF","222","4","FA","86"
"Carolina / Car / DEF","223","7","FA","86"
"Ito Smith / Atl / RB","224","9","FA","86"
"Eric Ebron / Ind / TE","225","6","Hoboken SquatCobbler","86"
"DK Metcalf / Sea / WR","226","11","FA","85"
"Jamaal Williams / GB / RB","227","11","He Hate Me","85"
"Washington / Was / DEF","228","10","FA","85"
"Demaryius Thomas / NE / WR","229","10","The White Walkers","84"
"Ted Ginn Jr. / NO / WR","230","9","FA","84"
"Taylor Gabriel / Chi / WR","231","6","FA","82"
"D'Onta Foreman / Ind / RB","232","6","FA","82"
"Equanimeous St. Brown / GB / WR","233","11","FA","82"
"Chris Herndon / NYJ / TE","234","4","FA","81"
"Gus Edwards / Bal / RB","235","8","C$","81"
"C.J. Uzomah / Cin / TE","236","9","FA","80"
"Kalen Ballage / Mia / RB","237","5","FA","79"
"Cincinnati / Cin / DEF","238","9","The White Walkers","79"
"Josh Doctson / Was / WR","239","10","FA","79"
"Tampa Bay / TB / DEF","240","7","FA","78"
"Dallas Goedert / Phi / TE","241","10","FA","78"
"James Washington / Pit / WR","242","7","FA","77"
"Matt LaCosse / NE / TE","243","10","FA","76"
"Jordan Wilkins / Ind / RB","244","6","FA","76"
"Malcolm Brown / LAR / RB","245","9","FA","76"
"David Moore / Sea / WR","246","11","FA","76"
"Zay Jones / Buf / WR","247","6","FA","75"
"Matt Breida / SF / RB","248","4","C$","75"
"Jakeem Grant / Mia / WR","249","5","FA","74"
"Richie James Jr. / SF / WR","250","4","FA","74"
"Will Dissly / Sea / TE","251","11","FA","74"
"New York / NYG / DEF","252","11","FA","73"
"Golden Tate / NYG / WR","253","11","C$","73"
"Oakland / Oak / DEF","254","6","FA","73"
"Jordan Matthews / SF / WR","255","4","FA","71"
"Miami / Mia / DEF","256","5","FA","71"
"Willie Snead IV / Bal / WR","257","8","FA","71"
"Chris Thompson / Was / RB","258","10","FA","71"
"Giovani Bernard / Cin / RB","259","9","FA","70"
"Kareem Hunt / Cle / RB","260","7","Grey Nut Grabbers","70"
"Blake Jarwin / Dal / TE","261","8","FA","70"
"Kevin White / Ari / WR","262","12","FA","70"
"Antonio Callaway / Cle / WR","263","7","FA","69"
"Noah Fant / Den / TE","264","10","FA","68"
"Mecole Hardman / KC / WR","265","12","FA","68"
"Andy Isabella / Ari / WR","266","12","FA","68"
"Randall Cobb / Dal / WR","267","8","ChildPlease","67"
"Trey Quinn / Was / WR","268","10","FA","66"
"N'Keal Harry / NE / WR","269","10","FA","62"
"Danny Amendola / Det / WR","270","5","FA","65"
"Kenneth Dixon / Bal / RB","271","8","FA","65"
"T.J. Hockenson / Det / TE","272","5","FA","65"
"Josh Reynolds / LAR / WR","273","9","FA","65"
"Deebo Samuel / SF / WR","274","4","FA","64"
"Demarcus Robinson / KC / WR","275","12","FA","64"
"Cameron Brate / TB / TE","276","7","FA","64"
"Jesse James / Det / TE","277","5","FA","63"
"Keelan Cole / Jax / WR","278","10","FA","62"
"Hayden Hurst / Bal / TE","279","8","FA","62"
"Darrell Henderson Jr. / LAR / RB","280","9","FA","62"
"Ronald Jones II / TB / RB","281","7","FA","62"
"Parris Campbell / Ind / WR","282","6","FA","61"
"Wendell Smallwood / Phi / RB","283","10","FA","61"
"Gerald Everett / LAR / TE","284","9","FA","61"
"Cordarrelle Patterson / Chi / WR","285","6","FA","61"
"Theo Riddick / Den / RB","286","10","FA","58"
"Tyler Eifert / Cin / TE","287","9","FA","58"
"Jeff Heuerman / Den / TE","288","10","FA","58"
"Mike Gesicki / Mia / TE","289","5","FA","57"
"Adam Shaheen / Chi / TE","290","6","FA","57"
"D.J. Chark Jr. / Jax / WR","291","10","FA","57"
"Cole Beasley / Buf / WR","292","6","The White Walkers","55"
"T.J. Yeldon / Buf / RB","293","6","FA","54"
"J.D. McKissic / Sea / RB","294","11","FA","54"
"Jason Witten / Dal / TE","295","8","FA","54"
"Vernon Davis / Was / TE","296","10","FA","54"
"Geronimo Allison / GB / WR","297","11","FA","54"
"Chris Conley / Jax / WR","298","10","FA","54"
"Ryan Switzer / Pit / WR","299","7","FA","53"
"Charles Clay / Ari / TE","300","12","FA","53"
"Seth Roberts / Bal / WR","301","8","FA","52"
"Corey Clement / Phi / RB","302","10","FA","52"
"Devontae Booker / Den / RB","303","10","FA","51"
"Breshad Perriman / TB / WR","304","7","FA","51"
"DaeSean Hamilton / Den / WR","305","10","FA","51"
"Darren Waller / Oak / TE","306","6","FA","51"
"Chris Moore / Bal / WR","307","8","FA","51"
"Chris Hogan / Car / WR","308","7","FA","50"
"Brian Hill / Atl / RB","309","9","FA","50"
"Eli Rogers / Pit / WR","310","7","FA","48"
"Jordan Akins / Hou / TE","311","10","FA","48"
"Ian Thomas / Car / TE","312","7","FA","48"
"Ryan Grant / Oak / WR","313","6","FA","47"
"Trent Taylor / SF / WR","314","4","FA","47"
"Chad Williams / Ari / WR","315","12","FA","47"
"Ty Montgomery / NYJ / RB","316","4","FA","46"
"Kendrick Bourne / SF / WR","317","4","FA","46"
